"MM Retake","","","","","","","","",""
"Adicionar descrição do quadro","","","","","","","","",""
"","","","","","","","","",""
"101 Bagunça Implacável","","","","","","","","",""
"Name","ANIM","COMP","JULIETA E/OU LÚCIO","Responsável","Espelho","BG v1","MM Animação","ANIM PRAZO","COMP PRAZO"
"970","","","","","APROVADO DIR. GERAL","","970","",""
"971","","","","","APROVADO DIR. GERAL","","971","",""
"980","","","","","APROVADO DIR. GERAL","","980","",""
"990","","","","","APROVADO DIR. GERAL","","990","",""
"1000","APROVADO","ENTREGUE CHATRONE","","Fits, André Rache","APROVADO DIR. GERAL","","1000","2022-03-18","2022-03-18"
"1010","","","","","APROVADO DIR. GERAL","","1010","",""
"1020","","","","","APROVADO DIR. GERAL","","1020","",""
"1030","","","","","APROVADO DIR. GERAL","","1030","",""
"1040","","","","","APROVADO DIR. GERAL","","1040","",""
"1050","","","","","APROVADO DIR. GERAL","","1050","",""
"1060","","","","","APROVADO DIR. GERAL","","1060","",""
"1070","","","","","APROVADO DIR. GERAL","","1070","",""
"1080","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1080","",""
"1090","","","","","APROVADO DIR. GERAL","","1090","",""
"1100","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1100","",""
"1110","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1110","",""
"1120","","","","","APROVADO DIR. GERAL","","1120","",""
"1130","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1130","",""
"1140","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1140","",""
"1150","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1150","",""
"1160","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1160","",""
"1170","","","","","APROVADO DIR. GERAL","","1170","",""
"1180","APROVADO","ENTREGUE CHATRONE","","Igor, Kim","APROVADO DIR. GERAL","","1180","2022-03-18","2022-03-18"
"1190","","","","","APROVADO DIR. GERAL","","1190","",""
"1200","","","","","APROVADO DIR. GERAL","","1200","",""
"1210","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1210","",""
"1220","","","","","APROVADO DIR. GERAL","","1220","",""
"1230","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1230","",""
"1240","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1240","",""
"1250","","","","","APROVADO DIR. GERAL","","1250","",""
"1260","CENA CANCELADA","CENA CANCELADA","","","JUNTOU","","1260","",""
"1270","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1270","",""
"1280","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1280","",""
"1290","","","","","APROVADO DIR. GERAL","","1290","",""
"1300","","","","","APROVADO DIR. GERAL","","1300","",""
"1310","","","","","APROVADO DIR. GERAL","","1310","",""
"1320","","","","","APROVADO DIR. GERAL","","1320","",""
"1330","","","","","APROVADO DIR. GERAL","","1330","",""
"1340","","","","","APROVADO DIR. GERAL","","1340","",""
"1350","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1350","",""
"1360","","","","","APROVADO DIR. GERAL","","1360","",""
"1370","","","","","APROVADO DIR. GERAL","","1370","",""
"1380","","","","","APROVADO DIR. GERAL","","1380","",""
"1390","","","","","APROVADO DIR. GERAL","","1390","",""
"1400","","","","","APROVADO DIR. GERAL","","1400","",""
"1410","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1410","",""
"1420","","","ENTREGUE CHATRONE","","JUNTOU","","1420","",""
"1430","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1430","",""
"1440","","","","","APROVADO DIR. GERAL","","1440","",""
"1450","","","","","APROVADO DIR. GERAL","","1450","",""
"1460","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1460","",""
"1470","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1470","",""
"1480","","","","","APROVADO DIR. GERAL","","1480","",""
"1490","","","","","APROVADO DIR. GERAL","","1490","",""
"1500","","","","","APROVADO DIR. GERAL","","1500","",""
"1510","","","","","APROVADO DIR. GERAL","","1510","",""
"1520","","","","","APROVADO DIR. GERAL","","1520","",""
"1530","","","","","APROVADO DIR. GERAL","","1530","",""
"1540","","","","","APROVADO DIR. GERAL","","1540","",""
"1550","","","","","APROVADO DIR. GERAL","","1550","",""
"1560","","","","","APROVADO DIR. GERAL","","1560","",""
"1570","","","","","APROVADO DIR. GERAL","","1570","",""
"1580","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1580","",""
"1590","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1590","",""
"1600","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1600","",""
"1610","","","","","APROVADO DIR. GERAL","","1610","",""
"1620","","","","","APROVADO DIR. GERAL","","1620","",""
"1630","","","","","APROVADO DIR. GERAL","","1630","",""
"1640","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1640","",""
"1650","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1650","",""
"1660","","","","","APROVADO DIR. GERAL","","1660","",""
"1670","","","","","APROVADO DIR. GERAL","","1670","",""
"1680","","","","","APROVADO DIR. GERAL","","1680","",""
"1690","","","","","APROVADO DIR. GERAL","","1690","",""
"1700","","","","","APROVADO DIR. GERAL","","1700","",""
"1710","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1710","",""
"1720","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1720","",""
"1730","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1730","",""
"1740","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1740","",""
"1750","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1750","",""
"1760","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1760","",""
"1770","","","","","APROVADO DIR. GERAL","","1770","",""
"1780","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1780","",""
"1790","","","","","APROVADO DIR. GERAL","","1790","",""
"1800","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1800","",""
"1810","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1810","",""
"1830","APROVADO","ENTREGUE CHATRONE","ENTREGUE CHATRONE","Fits","APROVADO DIR. GERAL","","1830","2022-03-18","2022-03-18"
"1840","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1840","",""
"1850","APROVADO","ENTREGUE CHATRONE","ENTREGUE CHATRONE","Fits","APROVADO DIR. GERAL","","1850","2022-03-18","2022-03-18"
"1860","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1860","",""
"1870","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1870","",""
"1880","","","","","APROVADO DIR. GERAL","","1880","",""
"1890","","","","","APROVADO DIR. GERAL","","1890","",""
"1900","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1900","",""
"1910","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1910","",""
"1920","","","","","APROVADO DIR. GERAL","","1920","",""
"1930","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1930","",""
"1940","","","","","APROVADO DIR. GERAL","","1940","",""
"1950","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1950","",""
"1960","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1960","",""
"1970","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1970","",""
"1980","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1980","",""
"1990","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","1990","",""
"2000","","","","","APROVADO DIR. GERAL","","2000","",""
"2010","","","","","APROVADO DIR. GERAL","","2010","",""
"2020","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2020","",""
"2030","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2030","",""
"2040","","","","","APROVADO DIR. GERAL","","2040","",""
"2050","","","","","APROVADO DIR. GERAL","","2050","",""
"2060","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2060","",""
"2070","","","","","APROVADO DIR. GERAL","","2070","",""
"2080","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2080","",""
"2090","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2090","",""
"2100","","","","","APROVADO DIR. GERAL","","2100","",""
"2110","","","","","APROVADO DIR. GERAL","","2110","",""
"2120","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2120","",""
"2130","","","","","APROVADO DIR. GERAL","","2130","",""
"2140","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2140","",""
"2150","","","","","APROVADO DIR. GERAL","","2150","",""
"2160","APROVADO","ENTREGUE CHATRONE","ENTREGUE CHATRONE","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2160","2022-03-18","2022-03-18"
"2170","","","","","APROVADO DIR. GERAL","","2170","",""
"2180","","","","","APROVADO DIR. GERAL","","2180","",""
"2190","APROVADO","ENTREGUE CHATRONE","ENTREGUE CHATRONE","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2190","2022-03-18","2022-03-18"
"2200","","","","","APROVADO DIR. GERAL","","2200","",""
"2210","APROVADO","ENTREGUE CHATRONE","","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2210","2022-03-18","2022-03-18"
"2220","","","","","APROVADO DIR. GERAL","","2220","",""
"2230","APROVADO","ENTREGUE CHATRONE","","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2230","2022-03-18","2022-03-18"
"2240","","","","","APROVADO DIR. GERAL","","2240","",""
"2250","","","","","APROVADO DIR. GERAL","","2250","",""
"2260","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2260","",""
"2270","","","","","APROVADO DIR. GERAL","","2270","",""
"2280","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2280","",""
"2290","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2290","",""
"2300","","","","","APROVADO DIR. GERAL","","2300","",""
"2310","APROVADO","ENTREGUE CHATRONE","","Fits, Igor, Kássia Oliveira","APROVADO DIR. GERAL","","2310","2022-03-18","2022-03-18"
"2320","","","","","APROVADO DIR. GERAL","","2320","",""
"2330","APROVADO","ENTREGUE CHATRONE","","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2330","2022-03-18","2022-03-18"
"2340","","","","","APROVADO DIR. GERAL","","2340","",""
"2350","","","","","APROVADO DIR. GERAL","","2350","",""
"2360","","","","","APROVADO DIR. GERAL","","2360","",""
"2370","","","","","APROVADO DIR. GERAL","","2370","",""
"2380","","","","","APROVADO DIR. GERAL","","2380","",""
"2390","","","","","APROVADO DIR. GERAL","","2390","",""
"2400","","","","","","","2400","",""
"2410","","","","","APROVADO DIR. GERAL","","2410","",""
"2420","","","","","APROVADO DIR. GERAL","","2420","",""
